arrival_date,state,district,market,commodity,variety,min_price,max_price,modal_price,arrivals_in_qtl
2019_01_01,Uttar Pradesh,Agra,Agra,Potato,Desi,1367.0,1570.9,1450.0,2399
2019_01_02,Uttar Pradesh,Agra,Agra,Potato,Desi,1255.9,1527.4,1416.4,1930
2019_01_03,Uttar Pradesh,Agra,Agra,Potato,Desi,1245.2,1521.5,1399.6,2757
2019_01_04,Uttar Pradesh,Agra,Agra,Potato,Desi,1238.9,1474.5,1383.6,2753
2019_01_05,Uttar Pradesh,Agra,Agra,Potato,Desi,1286.0,1548.5,1361.9,1307
2019_01_06,Uttar Pradesh,Agra,Agra,Potato,Desi,1275.6,1565.1,1364.1,1621
2019_01_07,Uttar Pradesh,Agra,Agra,Potato,Desi,1266.9,1463.4,1367.0,1823
2019_01_08,Uttar Pradesh,Agra,Agra,Potato,Desi,1253.4,1543.1,1388.2,2310
2019_01_09,Uttar Pradesh,Agra,Agra,Potato,Desi,1275.5,1563.5,1371.1,2450
2019_01_10,Uttar Pradesh,Agra,Agra,Potato,Desi,1217.7,1444.8,1354.1,1485
2019_01_11,Uttar Pradesh,Agra,Agra,Potato,Desi,1229.5,1463.6,1350.8,2049
2019_01_12,Uttar Pradesh,Agra,Agra,Potato,Desi,1236.6,1403.4,1325.0,3002
2019_01_13,Uttar Pradesh,Agra,Agra,Potato,Desi,1267.6,1438.0,1348.1,1990
2019_01_14,Uttar Pradesh,Agra,Agra,Potato,Desi,1248.7,1415.0,1336.7,2098
2019_01_15,Uttar Pradesh,Agra,Agra,Potato,Desi,1180.6,1458.0,1329.9,2708
2019_01_16,Uttar Pradesh,Agra,Agra,Potato,Desi,1214.9,1512.7,1326.8,2949
2019_01_17,Uttar Pradesh,Agra,Agra,Potato,Desi,1200.7,1508.6,1319.4,2882
2019_01_18,Uttar Pradesh,Agra,Agra,Potato,Desi,1184.9,1491.8,1310.4,1450
2019_01_19,Uttar Pradesh,Agra,Agra,Potato,Desi,1247.3,1413.8,1341.0,2214
2019_01_20,Uttar Pradesh,Agra,Agra,Potato,Desi,1255.7,1494.3,1336.6,2445
2019_01_21,Uttar Pradesh,Agra,Agra,Potato,Desi,1242.9,1447.7,1338.5,2942
2019_01_22,Uttar Pradesh,Agra,Agra,Potato,Desi,1224.7,1404.4,1325.4,1735
2019_01_23,Uttar Pradesh,Agra,Agra,Potato,Desi,1210.6,1476.1,1329.6,1961
2019_01_24,Uttar Pradesh,Agra,Agra,Potato,Desi,1251.8,1515.9,1324.8,1698
2019_01_25,Uttar Pradesh,Agra,Agra,Potato,Desi,1226.9,1430.3,1323.5,2328
2019_01_26,Uttar Pradesh,Agra,Agra,Potato,Desi,1191.6,1445.8,1325.7,1739
2019_01_27,Uttar Pradesh,Agra,Agra,Potato,Desi,1202.6,1439.1,1333.9,2901
2019_01_28,Uttar Pradesh,Agra,Agra,Potato,Desi,1200.5,1503.6,1339.2,1859
2019_01_29,Uttar Pradesh,Agra,Agra,Potato,Desi,1216.9,1495.2,1333.2,1992
2019_01_30,Uttar Pradesh,Agra,Agra,Potato,Desi,1206.2,1397.4,1327.9,2419
2019_01_31,Uttar Pradesh,Agra,Agra,Potato,Desi,1159.7,1481.2,1305.9,2838
2019_02_01,Uttar Pradesh,Agra,Agra,Potato,Desi,1219.0,1480.1,1299.0,2589
2019_02_02,Uttar Pradesh,Agra,Agra,Potato,Desi,1180.6,1368.7,1296.4,1375
2019_02_03,Uttar Pradesh,Agra,Agra,Potato,Desi,1162.1,1446.7,1305.9,1844
2019_02_04,Uttar Pradesh,Agra,Agra,Potato,Desi,1164.8,1358.0,1266.4,2360
2019_02_05,Uttar Pradesh,Agra,Agra,Potato,Desi,1143.1,1351.0,1267.9,1719
2019_02_06,Uttar Pradesh,Agra,Agra,Potato,Desi,1165.1,1417.1,1253.7,2043
2019_02_07,Uttar Pradesh,Agra,Agra,Potato,Desi,1114.7,1404.1,1262.2,1335
