date,district,rainfall_mm,temp_max,temp_min
2019-01-01,Nashik,0.0,27.2,9.8
2019-01-02,Nashik,0.0,28.7,14.1
2019-01-03,Nashik,0.0,28.9,13.5
2019-01-04,Nashik,0.0,28.9,12.5
2019-01-05,Nashik,0.0,29.1,13.6
2019-01-06,Nashik,0.0,28.0,11.5
2019-01-07,Nashik,0.0,26.1,14.0
2019-01-08,Nashik,0.0,26.5,10.9
2019-01-09,Nashik,0.0,27.4,11.1
2019-01-10,Nashik,0.0,27.4,11.9
2019-01-11,Nashik,0.0,28.7,12.0
2019-01-12,Nashik,0.0,29.5,13.1
2019-01-13,Nashik,0.0,28.5,11.7
2019-01-14,Nashik,0.0,27.4,15.1
2019-01-15,Nashik,0.0,27.4,14.1
2019-01-16,Nashik,0.0,29.0,13.3
2019-01-17,Nashik,0.0,30.5,16.5
2019-01-18,Nashik,0.0,30.0,15.3
2019-01-19,Nashik,0.0,29.3,13.2
2019-01-20,Nashik,0.0,29.6,14.5
2019-01-21,Nashik,0.0,30.0,14.1
2019-01-22,Nashik,0.0,27.2,14.7
2019-01-23,Nashik,0.0,25.4,13.6
2019-01-24,Nashik,0.0,26.8,13.3
2019-01-25,Nashik,0.0,25.4,11.4
2019-01-26,Nashik,0.0,24.0,13.2
2019-01-27,Nashik,0.0,24.3,13.1
2019-01-28,Nashik,0.0,22.8,11.8
2019-01-29,Nashik,0.0,24.3,11.3
2019-01-30,Nashik,0.0,26.2,9.7
2019-01-31,Nashik,0.0,27.1,11.9
2019-02-01,Nashik,0.0,28.4,13.5
2019-02-02,Nashik,0.0,28.6,15.4
2019-02-03,Nashik,0.0,29.1,17.9
2019-02-04,Nashik,0.0,29.8,16.6
2019-02-05,Nashik,0.0,30.2,16.8
2019-02-06,Nashik,0.0,30.2,15.9
2019-02-07,Nashik,0.0,24.5,14.7
2019-02-08,Nashik,0.0,23.5,10.4
2019-02-09,Nashik,0.0,23.7,8.1
2019-02-10,Nashik,0.0,26.8,8.7
2019-02-11,Nashik,0.0,29.3,11.8
2019-02-12,Nashik,0.0,31.3,15.6
2019-02-13,Nashik,0.1,31.6,20.0
2019-02-14,Nashik,0.0,31.7,18.7
2019-02-15,Nashik,0.0,30.1,15.8
2019-02-16,Nashik,0.0,28.4,13.0
2019-02-17,Nashik,0.0,29.4,15.1
2019-02-18,Nashik,0.0,32.0,14.2
2019-02-19,Nashik,0.0,33.2,16.3
2019-02-20,Nashik,0.0,34.4,18.0
2019-02-21,Nashik,0.0,34.4,18.4
2019-02-22,Nashik,0.0,34.7,19.1
2019-02-23,Nashik,0.0,34.1,19.5
2019-02-24,Nashik,0.0,34.2,18.2
2019-02-25,Nashik,0.0,31.7,18.6
2019-02-26,Nashik,0.0,28.7,19.3
2019-02-27,Nashik,0.0,27.8,15.0
2019-02-28,Nashik,0.0,28.4,14.9
2019-03-01,Nashik,0.0,30.3,15.7
2019-03-02,Nashik,0.0,34.4,17.7
2019-03-03,Nashik,0.0,32.1,17.6
2019-03-04,Nashik,0.0,30.0,17.7
2019-03-05,Nashik,0.0,30.2,15.6
2019-03-06,Nashik,0.0,30.0,15.7
2019-03-07,Nashik,0.0,31.7,14.4
2019-03-08,Nashik,0.0,33.7,15.4
2019-03-09,Nashik,0.0,33.4,19.1
2019-03-10,Nashik,0.0,34.1,18.3
2019-03-11,Nashik,0.0,33.1,18.1
2019-03-12,Nashik,0.0,33.9,16.9
2019-03-13,Nashik,0.0,32.4,17.5
2019-03-14,Nashik,0.0,32.6,18.6
2019-03-15,Nashik,0.0,33.3,18.5
2019-03-16,Nashik,0.0,35.0,18.4
2019-03-17,Nashik,0.0,34.7,18.5
2019-03-18,Nashik,0.0,34.4,18.3
2019-03-19,Nashik,0.0,35.5,17.9
2019-03-20,Nashik,0.0,35.4,19.7
2019-03-21,Nashik,0.0,34.1,18.6
2019-03-22,Nashik,0.0,35.0,17.7
2019-03-23,Nashik,0.0,36.3,20.1
2019-03-24,Nashik,0.0,36.9,22.7
2019-03-25,Nashik,0.0,37.8,24.4
2019-03-26,Nashik,0.0,37.6,21.7
2019-03-27,Nashik,0.0,38.2,22.4
2019-03-28,Nashik,0.0,39.2,22.6
2019-03-29,Nashik,0.0,39.3,22.8
