date,district,ndvi_mean
2019_01_01,Nashik,0.753
2019_01_06,Nashik,0.692
2019_01_11,Nashik,0.577
2019_01_16,Nashik,0.498
2019_01_21,Nashik,0.443
2019_01_26,Nashik,0.394
2019_01_31,Nashik,0.349
2019_02_05,Nashik,0.409
2019_02_10,Nashik,0.361
2019_02_15,Nashik,0.357
2019_02_20,Nashik,0.337
2019_02_25,Nashik,0.401
2019_03_02,Nashik,0.452
2019_03_07,Nashik,0.533
2019_03_12,Nashik,0.649
2019_03_17,Nashik,0.665
2019_03_22,Nashik,0.744
2019_03_27,Nashik,0.603
2019_04_01,Nashik,0.648
2019_04_06,Nashik,0.709
2019_04_11,Nashik,0.694
2019_04_16,Nashik,0.547
2019_04_21,Nashik,0.565
2019_04_26,Nashik,0.416
2019_05_01,Nashik,0.375
2019_05_06,Nashik,0.339
2019_05_11,Nashik,0.306
2019_05_16,Nashik,0.366
2019_05_21,Nashik,0.402
2019_05_26,Nashik,0.387
2019_05_31,Nashik,0.478
2019_06_05,Nashik,0.528
2019_06_10,Nashik,0.67
2019_06_15,Nashik,0.679
2019_06_20,Nashik,0.708
2019_06_25,Nashik,0.75
2019_06_30,Nashik,0.707
2019_07_05,Nashik,0.675
2019_07_10,Nashik,0.732
2019_07_15,Nashik,0.551
2019_07_20,Nashik,0.567
2019_07_25,Nashik,0.393
2019_07_30,Nashik,0.463
2019_08_04,Nashik,0.374
2019_08_09,Nashik,0.364
2019_08_14,Nashik,0.358
2019_08_19,Nashik,0.422
2019_08_24,Nashik,0.426
2019_08_29,Nashik,0.513
2019_09_03,Nashik,0.566
2019_09_08,Nashik,0.626
2019_09_13,Nashik,0.633
2019_09_18,Nashik,0.65
2019_09_23,Nashik,0.702
2019_09_28,Nashik,0.695
2019_10_03,Nashik,0.715
2019_10_08,Nashik,0.615
2019_10_13,Nashik,0.612
2019_10_18,Nashik,0.52
2019_10_23,Nashik,0.48
2019_10_28,Nashik,0.416
2019_11_02,Nashik,0.361
2019_11_07,Nashik,0.331
2019_11_12,Nashik,0.315
2019_11_17,Nashik,0.381
2019_11_22,Nashik,0.416
2019_11_27,Nashik,0.463
2019_12_02,Nashik,0.574
2019_12_07,Nashik,0.616
2019_12_12,Nashik,0.647
2019_12_17,Nashik,0.631
2019_12_22,Nashik,0.758
2019_12_27,Nashik,0.683
2020_01_01,Nashik,0.725
2020_01_06,Nashik,0.597
2020_01_11,Nashik,0.588
2020_01_16,Nashik,0.519
2020_01_21,Nashik,0.535
2020_01_26,Nashik,0.502
2020_01_31,Nashik,0.342
2020_02_05,Nashik,0.453
2020_02_10,Nashik,0.289
2020_02_15,Nashik,0.394
2020_02_20,Nashik,0.35
2020_02_25,Nashik,0.438
2020_03_01,Nashik,0.557
2020_03_06,Nashik,0.514
2020_03_11,Nashik,0.598
2020_03_16,Nashik,0.666
2020_03_21,Nashik,0.721
2020_03_26,Nashik,0.764
2020_03_31,Nashik,0.747
2020_04_05,Nashik,0.591
2020_04_10,Nashik,0.554
2020_04_15,Nashik,0.578
2020_04_20,Nashik,0.496
2020_04_25,Nashik,0.431
2020_04_30,Nashik,0.297
2020_05_05,Nashik,0.341
2020_05_10,Nashik,0.382
2020_05_15,Nashik,0.336
2020_05_20,Nashik,0.364
2020_05_25,Nashik,0.432
2020_05_30,Nashik,0.558
2020_06_04,Nashik,0.554
2020_06_09,Nashik,0.63
2020_06_14,Nashik,0.671
2020_06_19,Nashik,0.614
2020_06_24,Nashik,0.664
2020_06_29,Nashik,0.75
2020_07_04,Nashik,0.658
2020_07_09,Nashik,0.627
2020_07_14,Nashik,0.56
2020_07_19,Nashik,0.506
2020_07_24,Nashik,0.377
2020_07_29,Nashik,0.478
2020_08_03,Nashik,0.413
2020_08_08,Nashik,0.405
2020_08_13,Nashik,0.38
2020_08_18,Nashik,0.396
2020_08_23,Nashik,0.392
2020_08_28,Nashik,0.464
2020_09_02,Nashik,0.485
2020_09_07,Nashik,0.63
2020_09_12,Nashik,0.697
2020_09_17,Nashik,0.698
2020_09_22,Nashik,0.708
2020_09_27,Nashik,0.704
2020_10_02,Nashik,0.73
2020_10_07,Nashik,0.617
2020_10_12,Nashik,0.568
2020_10_17,Nashik,0.523
2020_10_22,Nashik,0.436
2020_10_27,Nashik,0.4
2020_11_01,Nashik,0.391
2020_11_06,Nashik,0.366
2020_11_11,Nashik,0.378
2020_11_16,Nashik,0.319
2020_11_21,Nashik,0.399
2020_11_26,Nashik,0.423
2020_12_01,Nashik,0.538
2020_12_06,Nashik,0.576
2020_12_11,Nashik,0.6
2020_12_16,Nashik,0.665
2020_12_21,Nashik,0.672
2020_12_26,Nashik,0.663
2020_12_31,Nashik,0.739
2021_01_05,Nashik,0.675
2021_01_10,Nashik,0.566
2021_01_15,Nashik,0.557
2021_01_20,Nashik,0.546
2021_01_25,Nashik,0.443
2021_01_30,Nashik,0.368
2021_02_04,Nashik,0.292
2021_02_09,Nashik,0.281
2021_02_14,Nashik,0.371
2021_02_19,Nashik,0.366
2021_02_24,Nashik,0.434
2021_03_01,Nashik,0.452
2021_03_06,Nashik,0.572
2021_03_11,Nashik,0.637
2021_03_16,Nashik,0.678
2021_03_21,Nashik,0.667
2021_03_26,Nashik,0.714
2021_03_31,Nashik,0.714
2021_04_05,Nashik,0.673
2021_04_10,Nashik,0.595
2021_04_15,Nashik,0.539
2021_04_20,Nashik,0.43
2021_04_25,Nashik,0.466
2021_04_30,Nashik,0.41
