date,is_festive_season,festival_name,harvest_season_type
2019_01_01,0,None,Zaid Lean Season
2019_01_02,0,None,Zaid Lean Season
2019_01_03,0,None,Zaid Lean Season
2019_01_04,0,None,Zaid Lean Season
2019_01_05,0,None,Zaid Lean Season
2019_01_06,0,None,Zaid Lean Season
2019_01_07,0,None,Zaid Lean Season
2019_01_08,0,None,Zaid Lean Season
2019_01_09,0,None,Zaid Lean Season
2019_01_10,0,None,Zaid Lean Season
2019_01_11,0,None,Zaid Lean Season
2019_01_12,0,None,Zaid Lean Season
2019_01_13,0,None,Zaid Lean Season
2019_01_14,0,None,Zaid Lean Season
2019_01_15,0,None,Zaid Lean Season
2019_01_16,0,None,Zaid Lean Season
2019_01_17,0,None,Zaid Lean Season
2019_01_18,0,None,Zaid Lean Season
2019_01_19,0,None,Zaid Lean Season
2019_01_20,0,None,Zaid Lean Season
2019_01_21,0,None,Zaid Lean Season
2019_01_22,0,None,Zaid Lean Season
2019_01_23,0,None,Zaid Lean Season
2019_01_24,0,None,Zaid Lean Season
2019_01_25,0,None,Zaid Lean Season
2019_01_26,1,Republic Day,Zaid Lean Season
2019_01_27,0,None,Zaid Lean Season
2019_01_28,0,None,Zaid Lean Season
2019_01_29,0,None,Zaid Lean Season
2019_01_30,0,None,Zaid Lean Season
2019_01_31,0,None,Zaid Lean Season
2019_02_01,0,None,Zaid Lean Season
2019_02_02,0,None,Zaid Lean Season
2019_02_03,0,None,Zaid Lean Season
2019_02_04,0,None,Zaid Lean Season
2019_02_05,0,None,Zaid Lean Season
2019_02_06,0,None,Zaid Lean Season
2019_02_07,0,None,Zaid Lean Season
2019_02_08,0,None,Zaid Lean Season
2019_02_09,0,None,Zaid Lean Season
2019_02_10,0,None,Zaid Lean Season
2019_02_11,0,None,Zaid Lean Season
2019_02_12,0,None,Zaid Lean Season
2019_02_13,0,None,Zaid Lean Season
2019_02_14,0,None,Zaid Lean Season
2019_02_15,0,None,Zaid Lean Season
2019_02_16,0,None,Zaid Lean Season
2019_02_17,0,None,Zaid Lean Season
2019_02_18,0,None,Zaid Lean Season
2019_02_19,0,None,Zaid Lean Season
2019_02_20,0,None,Zaid Lean Season
2019_02_21,0,None,Zaid Lean Season
2019_02_22,0,None,Zaid Lean Season
2019_02_23,0,None,Zaid Lean Season
2019_02_24,0,None,Zaid Lean Season
2019_02_25,0,None,Zaid Lean Season
2019_02_26,0,None,Zaid Lean Season
2019_02_27,0,None,Zaid Lean Season
2019_02_28,0,None,Zaid Lean Season
2019_03_01,0,None,Rabi Harvest
2019_03_02,0,None,Rabi Harvest
2019_03_03,0,None,Rabi Harvest
2019_03_04,1,Maha Shivaratri,Rabi Harvest
2019_03_05,0,None,Rabi Harvest
2019_03_06,0,None,Rabi Harvest
2019_03_07,0,None,Rabi Harvest
2019_03_08,0,None,Rabi Harvest
2019_03_09,0,None,Rabi Harvest
2019_03_10,0,None,Rabi Harvest
2019_03_11,0,None,Rabi Harvest
2019_03_12,0,None,Rabi Harvest
2019_03_13,0,None,Rabi Harvest
2019_03_14,0,None,Rabi Harvest
2019_03_15,0,None,Rabi Harvest
2019_03_16,0,None,Rabi Harvest
2019_03_17,0,None,Rabi Harvest
2019_03_18,0,None,Rabi Harvest
2019_03_19,0,None,Rabi Harvest
2019_03_20,0,None,Rabi Harvest
2019_03_21,1,Holi,Rabi Harvest
2019_03_22,0,None,Rabi Harvest
2019_03_23,0,None,Rabi Harvest
2019_03_24,0,None,Rabi Harvest
2019_03_25,0,None,Rabi Harvest
2019_03_26,0,None,Rabi Harvest
2019_03_27,0,None,Rabi Harvest
2019_03_28,0,None,Rabi Harvest
2019_03_29,0,None,Rabi Harvest
2019_03_30,0,None,Rabi Harvest
2019_03_31,0,None,Rabi Harvest
2019_04_01,0,None,Rabi Harvest
2019_04_02,0,None,Rabi Harvest
2019_04_03,0,None,Rabi Harvest
2019_04_04,0,None,Rabi Harvest
2019_04_05,0,None,Rabi Harvest
2019_04_06,0,None,Rabi Harvest
2019_04_07,0,None,Rabi Harvest
2019_04_08,0,None,Rabi Harvest
2019_04_09,0,None,Rabi Harvest
2019_04_10,0,None,Rabi Harvest
2019_04_11,0,None,Rabi Harvest
2019_04_12,0,None,Rabi Harvest
2019_04_13,1,Ram Navami,Rabi Harvest
2019_04_14,1,Dr. B. R. Ambedkar's Jayanti,Rabi Harvest
2019_04_15,0,None,Rabi Harvest
2019_04_16,0,None,Rabi Harvest
2019_04_17,1,Mahavir Jayanti,Rabi Harvest
2019_04_18,0,None,Rabi Harvest
2019_04_19,1,Good Friday,Rabi Harvest
2019_04_20,0,None,Rabi Harvest
2019_04_21,0,None,Rabi Harvest
2019_04_22,0,None,Rabi Harvest
2019_04_23,0,None,Rabi Harvest
2019_04_24,0,None,Rabi Harvest
2019_04_25,0,None,Rabi Harvest
2019_04_26,0,None,Rabi Harvest
2019_04_27,0,None,Rabi Harvest
2019_04_28,0,None,Rabi Harvest
2019_04_29,0,None,Rabi Harvest
2019_04_30,0,None,Rabi Harvest
2019_05_01,0,None,Rabi Harvest
2019_05_02,0,None,Rabi Harvest
2019_05_03,0,None,Rabi Harvest
2019_05_04,0,None,Rabi Harvest
2019_05_05,0,None,Rabi Harvest
2019_05_06,0,None,Rabi Harvest
2019_05_07,0,None,Rabi Harvest
2019_05_08,0,None,Rabi Harvest
2019_05_09,0,None,Rabi Harvest
2019_05_10,0,None,Rabi Harvest
2019_05_11,0,None,Rabi Harvest
2019_05_12,0,None,Rabi Harvest
2019_05_13,0,None,Rabi Harvest
2019_05_14,0,None,Rabi Harvest
2019_05_15,0,None,Rabi Harvest
2019_05_16,0,None,Rabi Harvest
2019_05_17,0,None,Rabi Harvest
2019_05_18,1,Buddha Purnima,Rabi Harvest
2019_05_19,0,None,Rabi Harvest
2019_05_20,0,None,Rabi Harvest
2019_05_21,0,None,Rabi Harvest
2019_05_22,0,None,Rabi Harvest
2019_05_23,0,None,Rabi Harvest
2019_05_24,0,None,Rabi Harvest
