series,adf_statistic,p_value,critical_value_1pct,critical_value_5pct,critical_value_10pct,stationary_at_5pct,observations
Modal Price (Chilli Red),-1.9908860831455375,0.2905834764310831,-3.4309920247732566,-2.8618237373353677,-2.5669210282407273,False,10228
Modal Price (Gram(Chana)),-1.368506791345229,0.597277808583784,-3.4308632714244207,-2.8617668408151475,-2.566890742402476,False,12785
Modal Price (Maize),-2.150074562734218,0.22486155126096102,-3.430777532854427,-2.861728951296856,-2.566870574167785,False,15342
Modal Price (Mustard),-2.134939931157766,0.23069908022733743,-3.4308632714244207,-2.8617668408151475,-2.566890742402476,False,12785
Modal Price (Onion),-2.2383617544455645,0.19261801853190375,-3.4307779245362955,-2.861729124391071,-2.5668706663037795,False,15328
Modal Price (Paddy(Dhan)),-2.3127499042836273,0.16788884090112816,-3.4308632714244207,-2.8617668408151475,-2.566890742402476,False,12785
Modal Price (Potato),-1.731849744854069,0.41478172025317916,-3.430777532854427,-2.861728951296856,-2.566870574167785,False,15342
Modal Price (Soyabean),-2.6972715776154828,0.07451159646313028,-3.4309920247732566,-2.8618237373353677,-2.5669210282407273,False,10228
Modal Price (Tomato),-2.2671346268690353,0.18278683798534245,-3.4307785414884595,-2.861729397037934,-2.566870811430474,False,15306
Modal Price (Wheat),-2.231537932362957,0.19499872915841493,-3.430777532854427,-2.861728951296856,-2.566870574167785,False,15342
