commodity,Agra,Azadpur,Farrukhabad,Guntur,Indore,Karnal,Khanna,Kolkata,Lasalgaon,Mathura
Chilli Red,0,2557,0,2557,2557,0,0,2557,0,0
Gram(Chana),2557,0,2557,0,2557,0,0,0,2557,2557
Maize,2557,0,2557,0,2557,2557,2557,0,2557,0
Mustard,2557,0,2557,0,2557,2557,0,0,0,2557
Onion,2557,2551,0,0,2557,0,0,2549,2557,2557
Paddy(Dhan),2557,0,0,2557,0,2557,2557,2557,0,0
Potato,2557,2557,2557,0,0,2557,0,2557,0,2557
Soyabean,2557,0,0,0,2557,0,0,0,2557,2557
Tomato,2545,2538,2557,0,0,0,0,2552,2557,2557
Wheat,2557,0,2557,0,2557,2557,2557,0,0,2557
