commodity,lag_days,correlation
Chilli Red,-30,0.01998353119580541
Chilli Red,-29,0.028652176139444076
Chilli Red,-28,0.02535659543968
Chilli Red,-27,0.030759375662195755
Chilli Red,-26,0.02525638237918904
Chilli Red,-25,0.025476459842851355
Chilli Red,-24,0.026712166211196382
Chilli Red,-23,0.028621705952519554
Chilli Red,-22,0.030676009898760077
Chilli Red,-21,0.025916915675182065
Chilli Red,-20,0.03489024286132501
Chilli Red,-19,0.0402131238467428
Chilli Red,-18,0.029869676610926876
Chilli Red,-17,0.037024055826069484
Chilli Red,-16,0.03264802242004767
Chilli Red,-15,0.03389539390789116
Chilli Red,-14,0.029115261819238947
Chilli Red,-13,0.03520533854774402
Chilli Red,-12,0.04241477564450519
Chilli Red,-11,0.0386618750730073
Chilli Red,-10,0.03707721273660622
Chilli Red,-9,0.03677413003919794
Chilli Red,-8,0.03924790663716899
Chilli Red,-7,0.04291538752000505
Chilli Red,-6,0.03675549198350094
Chilli Red,-5,0.040622436646741894
Chilli Red,-4,0.04152401394112762
Chilli Red,-3,0.0477494692661639
Chilli Red,-2,0.04284640936821109
Chilli Red,-1,0.0464351883239881
Chilli Red,0,0.04700503051442539
Chilli Red,1,0.043524751839132333
Chilli Red,2,0.04550058189617377
Chilli Red,3,0.05256685347598858
Chilli Red,4,0.04233631049783685
Chilli Red,5,0.043584509501616714
Chilli Red,6,0.04712853496365526
Chilli Red,7,0.04713532536418188
Chilli Red,8,0.04614206340813496
Chilli Red,9,0.05025995253877217
Chilli Red,10,0.046241130065113774
Chilli Red,11,0.05931559745622808
Chilli Red,12,0.04764086880604063
Chilli Red,13,0.05993587724150971
Chilli Red,14,0.05800746085040221
Chilli Red,15,0.04910222174070102
Chilli Red,16,0.05254047119737177
Chilli Red,17,0.056169701684572845
Chilli Red,18,0.05748963462063065
Chilli Red,19,0.06038783564457211
Chilli Red,20,0.06083130724774259
Chilli Red,21,0.05585526334555437
Chilli Red,22,0.06176644456039757
Chilli Red,23,0.05278169832006058
Chilli Red,24,0.05915484877544546
Chilli Red,25,0.06559037104940195
Chilli Red,26,0.057434278493681656
Chilli Red,27,0.055364395895165425
Chilli Red,28,0.06828955653733705
Chilli Red,29,0.0661508633881858
Chilli Red,30,0.06422736359940939
Gram(Chana),-30,-0.07629502820852488
Gram(Chana),-29,-0.07908422093651263
Gram(Chana),-28,-0.07309182086254283
Gram(Chana),-27,-0.07407836584186345
Gram(Chana),-26,-0.07100336575133702
Gram(Chana),-25,-0.07761685769567313
Gram(Chana),-24,-0.07165868085144574
Gram(Chana),-23,-0.07015598365626771
Gram(Chana),-22,-0.07390819900085958
Gram(Chana),-21,-0.07380749768709226
Gram(Chana),-20,-0.07662537542668606
Gram(Chana),-19,-0.07198232329613014
Gram(Chana),-18,-0.07072739328179814
Gram(Chana),-17,-0.06781437488002047
Gram(Chana),-16,-0.07099664114450824
Gram(Chana),-15,-0.06892303316397307
Gram(Chana),-14,-0.07125720644045254
Gram(Chana),-13,-0.07116661336887053
Gram(Chana),-12,-0.06638032823856439
Gram(Chana),-11,-0.06860297114914468
Gram(Chana),-10,-0.065164495084399
Gram(Chana),-9,-0.0670933645281318
Gram(Chana),-8,-0.06602158189216527
Gram(Chana),-7,-0.069310824271262
Gram(Chana),-6,-0.06696863103625238
Gram(Chana),-5,-0.06523243638666429
Gram(Chana),-4,-0.06344279740116675
Gram(Chana),-3,-0.06329437583833078
Gram(Chana),-2,-0.06711580386089523
Gram(Chana),-1,-0.0624744325006275
Gram(Chana),0,-0.06920433919250822
Gram(Chana),1,-0.06320000396986396
Gram(Chana),2,-0.05984931130336334
Gram(Chana),3,-0.06335352520925412
Gram(Chana),4,-0.06055446628794441
Gram(Chana),5,-0.06368784746450722
Gram(Chana),6,-0.06063267960732184
Gram(Chana),7,-0.0642441738678004
Gram(Chana),8,-0.06277784230483874
Gram(Chana),9,-0.058010782948479146
Gram(Chana),10,-0.059717929405934636
Gram(Chana),11,-0.06461916574670244
Gram(Chana),12,-0.06464713829020285
Gram(Chana),13,-0.053780438108414645
Gram(Chana),14,-0.06104889650042589
Gram(Chana),15,-0.058097099550387325
Gram(Chana),16,-0.05721325208941026
Gram(Chana),17,-0.055224461882836307
Gram(Chana),18,-0.055904101027924105
Gram(Chana),19,-0.057709129011360105
Gram(Chana),20,-0.05767082513167121
Gram(Chana),21,-0.05583882467400225
Gram(Chana),22,-0.05529112461475415
Gram(Chana),23,-0.05409515351089389
Gram(Chana),24,-0.05382108301584162
Gram(Chana),25,-0.05116589210066917
Gram(Chana),26,-0.053765783048039625
Gram(Chana),27,-0.05033555613701062
Gram(Chana),28,-0.0513860469946408
Gram(Chana),29,-0.04916526606898884
Gram(Chana),30,-0.053950300414593574
Maize,-30,0.1325436003427454
Maize,-29,0.1318152517743322
Maize,-28,0.1281680983446041
Maize,-27,0.13012686842875199
Maize,-26,0.12956970887826047
Maize,-25,0.12635830042359122
Maize,-24,0.12912288121174162
Maize,-23,0.12821422578924385
Maize,-22,0.1286090691143417
Maize,-21,0.12791747398233758
Maize,-20,0.12649609247200358
Maize,-19,0.12712598924815324
Maize,-18,0.1294879269156404
Maize,-17,0.12320118455086065
Maize,-16,0.12614477682174716
Maize,-15,0.12455590285036573
Maize,-14,0.12108423894919618
Maize,-13,0.12458749774987406
Maize,-12,0.11795299253745378
Maize,-11,0.1226555620615451
Maize,-10,0.12417113633314297
Maize,-9,0.12145487438380898
Maize,-8,0.12071144562389548
Maize,-7,0.11960814527343483
Maize,-6,0.11774130087135473
Maize,-5,0.1160217661853779
Maize,-4,0.11853406021603463
Maize,-3,0.11606487050142636
Maize,-2,0.11556076414786144
Maize,-1,0.12097520958336173
Maize,0,0.11471280869909388
Maize,1,0.12006039583076894
Maize,2,0.11041871842676172
Maize,3,0.11484234577327153
Maize,4,0.11322319209244053
Maize,5,0.11025120467938475
Maize,6,0.10968966025251757
Maize,7,0.10777566525515356
Maize,8,0.11402179144453715
Maize,9,0.11258650975572174
Maize,10,0.10856975198183247
Maize,11,0.10942141127145652
Maize,12,0.11061233514271239
Maize,13,0.10798703681780601
Maize,14,0.11012303628318341
Maize,15,0.10827582132750445
Maize,16,0.10737992264560771
Maize,17,0.10615086636202323
Maize,18,0.10308793238455556
Maize,19,0.10556431172483496
Maize,20,0.10582412032337361
Maize,21,0.0996613592015761
Maize,22,0.1011345493583731
Maize,23,0.10234317446648826
Maize,24,0.10539233203972785
Maize,25,0.10125055087700241
Maize,26,0.09780712244187861
Maize,27,0.1019516774161735
Maize,28,0.09947905093226297
Maize,29,0.09807999672702979
Maize,30,0.09863784624420018
Mustard,-30,-0.03459354125659479
Mustard,-29,-0.042758331373125326
Mustard,-28,-0.04247271265611655
Mustard,-27,-0.037273310262952865
Mustard,-26,-0.035609726696431025
Mustard,-25,-0.03449017645505101
Mustard,-24,-0.03210716095453305
Mustard,-23,-0.03871269345693094
Mustard,-22,-0.036354299832978006
Mustard,-21,-0.033281265400543734
Mustard,-20,-0.03340678295714543
Mustard,-19,-0.03514971501151668
Mustard,-18,-0.03462523488012641
Mustard,-17,-0.03551006453887712
Mustard,-16,-0.03176897936330942
Mustard,-15,-0.02761483082457815
Mustard,-14,-0.03513540042483426
Mustard,-13,-0.0340133755801023
Mustard,-12,-0.03089217861551867
Mustard,-11,-0.033389909452215094
Mustard,-10,-0.029809442171256056
Mustard,-9,-0.027941791764659354
Mustard,-8,-0.03399596412405594
Mustard,-7,-0.03471653858733007
Mustard,-6,-0.03047495177174617
Mustard,-5,-0.023680037443362476
Mustard,-4,-0.0266444133186743
Mustard,-3,-0.030318731801997442
Mustard,-2,-0.029948959959130973
Mustard,-1,-0.023641452396319748
Mustard,0,-0.024390423285882395
Mustard,1,-0.02537764114946677
Mustard,2,-0.02867471590556492
Mustard,3,-0.0261846177429523
Mustard,4,-0.023224078342086396
Mustard,5,-0.028462553385003243
Mustard,6,-0.023614618265154243
Mustard,7,-0.024407203716834275
Mustard,8,-0.026944347454378317
Mustard,9,-0.021303448067283282
Mustard,10,-0.02572966039352632
Mustard,11,-0.0235659754861543
Mustard,12,-0.02255714069617431
Mustard,13,-0.025537891486449305
Mustard,14,-0.017510389534606936
Mustard,15,-0.020887528920894422
Mustard,16,-0.01785198697982882
Mustard,17,-0.018245498506634816
Mustard,18,-0.022137635924917576
Mustard,19,-0.021503517519191315
Mustard,20,-0.018418526498990725
Mustard,21,-0.019432027165424873
Mustard,22,-0.018973147326081328
Mustard,23,-0.01925681430722985
Mustard,24,-0.01894357812322949
Mustard,25,-0.015615400362869302
Mustard,26,-0.015738920524405606
Mustard,27,-0.013346416100493405
Mustard,28,-0.01635335524004248
Mustard,29,-0.01838479144115444
Mustard,30,-0.01513572751223982
Onion,-30,0.12200167049311732
Onion,-29,0.11742132394941354
Onion,-28,0.11792778247850459
Onion,-27,0.11972881578128221
Onion,-26,0.12258361311796045
Onion,-25,0.12353012041524415
Onion,-24,0.12444745457506227
Onion,-23,0.12231892385868015
Onion,-22,0.12095568940679312
Onion,-21,0.1233346392746124
Onion,-20,0.1245135938415694
Onion,-19,0.11764300205870727
Onion,-18,0.12805783510879376
Onion,-17,0.12111436767673069
Onion,-16,0.12321840598457863
Onion,-15,0.12526035415067255
Onion,-14,0.12793315236474578
Onion,-13,0.12667071803229396
Onion,-12,0.12383960591948373
Onion,-11,0.12658815616728838
Onion,-10,0.12499223781083565
Onion,-9,0.12999406940149452
Onion,-8,0.12808829497119725
Onion,-7,0.12468934061134389
Onion,-6,0.12446830427453699
Onion,-5,0.12671191598631126
Onion,-4,0.12732527384355388
Onion,-3,0.13196902144135525
Onion,-2,0.1267377982873244
Onion,-1,0.1316595855340828
Onion,0,0.14253307860564754
Onion,1,0.1285214269253431
Onion,2,0.13168656090297826
Onion,3,0.13415838536721036
Onion,4,0.12782772865826808
Onion,5,0.14469333702190187
Onion,6,0.12721569832564167
Onion,7,0.13363316653478652
Onion,8,0.13496831402318063
Onion,9,0.13571301047299042
Onion,10,0.13513198937501536
Onion,11,0.1368995790923958
Onion,12,0.14067402945480323
Onion,13,0.14184436497674596
Onion,14,0.13727046666116705
Onion,15,0.14432290894706906
Onion,16,0.13610639226660293
Onion,17,0.136072350497892
Onion,18,0.14310234994418253
Onion,19,0.13786122942249995
Onion,20,0.1346393612597168
Onion,21,0.14025644334480147
Onion,22,0.1414305366343112
Onion,23,0.13409279416373007
Onion,24,0.15078222693955234
Onion,25,0.14530878265275232
