commodity,lag_1_stat,lag_1_p_val,lag_7_stat,lag_7_p_val,lag_14_stat,lag_14_p_val,lag_30_stat,lag_30_p_val
Chilli Red,1032.646,0.0,5267.488,0.0,9435.034,0.0,14656.295,0.0
Gram(Chana),771.395,0.0,2386.484,0.0,3266.565,0.0,3577.725,0.0
Maize,217.274,0.0,261.591,0.0,265.464,0.0,268.118,0.0
Mustard,1255.925,0.0,6180.135,0.0,9843.15,0.0,12049.996,0.0
Onion,190.049,0.0,241.16,0.0,259.853,0.0,272.849,0.0
Paddy(Dhan),255.373,0.0,299.238,0.0,334.937,0.0,363.723,0.0
Potato,214.934,0.0,277.247,0.0,298.723,0.0,323.12,0.0
Soyabean,483.0,0.0,930.4,0.0,1229.336,0.0,1286.84,0.0
Tomato,281.705,0.0,319.303,0.0,329.808,0.0,335.479,0.0
Wheat,422.358,0.0,556.584,0.0,792.957,0.0,1037.147,0.0
