commodity,test_rows,naive_mae_rs_qtl,naive_rmse_rs_qtl,naive_mape_pct,naive_smape_pct,naive_r2
Chilli Red,1460,243.39,307.65,1.14,1.14,0.9886
Gram(Chana),1825,45.57,57.04,0.7,0.7,0.9945
Maize,2190,15.23,19.13,0.66,0.66,0.9958
Mustard,1825,49.81,63.17,0.73,0.73,0.9931
Onion,2184,39.82,50.27,1.46,1.46,0.9846
Paddy(Dhan),1825,13.6,17.01,0.52,0.52,0.9975
Potato,2190,17.91,22.45,0.96,0.96,0.9922
Soyabean,1460,45.99,57.43,0.78,0.78,0.9928
Tomato,2154,54.33,68.29,1.79,1.78,0.9767
Wheat,2190,12.57,15.72,0.46,0.46,0.9966
