market,test_rows,naive_mae_rs_qtl,naive_rmse_rs_qtl,naive_mape_pct,naive_smape_pct,naive_r2
Agra,3273,33.72,47.81,0.92,0.92,0.9994
Azadpur,1435,94.99,171.29,1.3,1.3,0.9996
Farrukhabad,2190,31.03,44.62,0.87,0.87,0.9995
Guntur,730,117.44,197.96,0.84,0.84,0.9995
Indore,2555,63.72,121.33,0.83,0.83,0.9996
Karnal,1825,21.88,32.85,0.65,0.65,0.9997
Khanna,1095,13.43,17.0,0.55,0.55,0.9969
Kolkata,1820,77.36,150.24,1.17,1.17,0.9997
Lasalgaon,1825,38.26,49.93,1.1,1.1,0.9992
Mathura,2555,37.99,51.11,0.98,0.98,0.9994
