commodity,test_rows,naive_mae_rs_qtl,lgb_mae_rs_qtl,mae_improvement_pct,naive_mape_pct,lgb_mape_pct,mape_improvement_pct,naive_rmse_rs_qtl,lgb_rmse_rs_qtl,lgb_r2
Chilli Red,1456,355.32,511.36,-43.92,1.66,2.21,-33.13,452.06,769.75,0.929
Gram(Chana),1820,66.06,69.07,-4.56,1.02,1.03,-0.98,82.7,100.38,0.9829
Maize,2184,22.18,17.22,22.36,0.96,0.75,21.87,28.05,21.78,0.9945
Mustard,1820,71.18,114.71,-61.15,1.04,1.58,-51.92,89.97,175.96,0.9464
Onion,2177,56.28,47.55,15.51,2.07,1.73,16.43,70.61,60.7,0.9775
Paddy(Dhan),1820,21.03,17.63,16.17,0.8,0.65,18.75,26.27,23.13,0.9954
Potato,2184,25.74,20.29,21.17,1.38,1.09,21.01,32.28,25.79,0.9897
Soyabean,1456,66.48,62.58,5.87,1.13,1.03,8.85,82.89,91.85,0.9816
Tomato,2139,76.03,71.16,6.41,2.5,2.31,7.6,96.85,90.23,0.9584
Wheat,2184,19.52,17.33,11.22,0.72,0.62,13.89,24.54,23.02,0.9928
