commodity,lag_1_stat,lag_1_p_val,lag_7_stat,lag_7_p_val,lag_14_stat,lag_14_p_val,lag_30_stat,lag_30_p_val
Chilli Red,284.488,0.0,2806.555,0.0,5763.401,0.0,12136.191,0.0
Gram(Chana),13.503,0.000238,285.223,0.0,606.848,0.0,977.783,0.0
Maize,0.516,0.472748,6.735,0.456931,11.662,0.633419,20.196,0.911329
Mustard,330.847,0.0,2739.388,0.0,5747.295,0.0,11736.889,0.0
Onion,0.0,0.997588,16.418,0.021559,42.133,0.000118,79.261,3e-06
Paddy(Dhan),6.334,0.011845,56.518,0.0,132.357,0.0,229.616,0.0
Potato,0.425,0.514332,6.686,0.462285,11.441,0.651073,23.566,0.79131
Soyabean,0.021,0.884004,34.773,1.2e-05,67.295,0.0,99.829,0.0
Tomato,1.914,0.16656,35.336,1e-05,41.974,0.000125,68.279,8.2e-05
Wheat,25.574,0.0,84.421,0.0,177.039,0.0,272.044,0.0
