commodity,test_rows,naive_mae_rs_qtl,naive_rmse_rs_qtl,naive_mape_pct,naive_smape_pct,naive_r2
Chilli Red,1456,355.32,452.06,1.66,1.66,0.9755
Gram(Chana),1820,66.06,82.7,1.02,1.02,0.9884
Maize,2184,22.18,28.05,0.96,0.96,0.9909
Mustard,1820,71.18,89.97,1.04,1.04,0.986
Onion,2177,56.28,70.61,2.07,2.07,0.9696
Paddy(Dhan),1820,21.03,26.27,0.8,0.8,0.9941
Potato,2184,25.74,32.28,1.38,1.38,0.9838
Soyabean,1456,66.48,82.89,1.13,1.13,0.985
Tomato,2139,76.03,96.85,2.5,2.5,0.9521
Wheat,2184,19.52,24.54,0.72,0.72,0.9918
