market,test_rows,naive_mae_rs_qtl,naive_rmse_rs_qtl,naive_mape_pct,naive_smape_pct,naive_r2
Agra,3262,48.7,68.53,1.32,1.32,0.9988
Azadpur,1426,140.58,253.82,1.89,1.89,0.9992
Farrukhabad,2184,44.33,63.32,1.25,1.25,0.999
Guntur,728,164.98,275.99,1.19,1.19,0.9989
Indore,2548,92.38,180.39,1.2,1.2,0.9992
Karnal,1820,32.83,48.55,0.99,0.99,0.9993
Khanna,1092,20.53,25.92,0.85,0.85,0.9929
Kolkata,1812,112.51,222.87,1.68,1.68,0.9992
Lasalgaon,1820,54.3,71.84,1.56,1.56,0.9983
Mathura,2548,54.21,72.72,1.39,1.39,0.9987
