commodity,test_rows,naive_mae_rs_qtl,lgb_mae_rs_qtl,mae_improvement_pct,naive_mape_pct,lgb_mape_pct,mape_improvement_pct,naive_rmse_rs_qtl,lgb_rmse_rs_qtl,lgb_r2
Chilli Red,1460,243.39,421.11,-73.02,1.14,1.76,-54.39,307.65,740.49,0.9342
Gram(Chana),1825,45.57,46.93,-2.98,0.7,0.69,1.43,57.04,74.45,0.9906
Maize,2190,15.23,8.38,44.98,0.66,0.36,45.45,19.13,11.03,0.9986
Mustard,1825,49.81,98.59,-97.93,0.73,1.33,-82.19,63.17,165.95,0.9523
Onion,2184,39.82,24.45,38.6,1.46,0.86,41.1,50.27,34.73,0.9927
Paddy(Dhan),1825,13.6,9.61,29.34,0.52,0.35,32.69,17.01,13.96,0.9983
Potato,2190,17.91,9.56,46.62,0.96,0.52,45.83,22.45,12.41,0.9976
Soyabean,1460,45.99,36.22,21.24,0.78,0.61,21.79,57.43,49.38,0.9947
Tomato,2154,54.33,39.24,27.77,1.79,1.25,30.17,68.29,53.25,0.9858
Wheat,2190,12.57,10.02,20.29,0.46,0.35,23.91,15.72,14.43,0.9972
