commodity,test_rows,pearson_correlation_yt_plus_1_vs_yt,spearman_rank_correlation,price_persistence_nature
Chilli Red,1456,0.9878,0.9876,High Near-Martingale Memory
Gram(Chana),1820,0.9942,0.9937,High Near-Martingale Memory
Maize,2184,0.9955,0.995,High Near-Martingale Memory
Mustard,1820,0.993,0.9918,High Near-Martingale Memory
Onion,2177,0.9848,0.9828,High Near-Martingale Memory
Paddy(Dhan),1820,0.9971,0.9968,High Near-Martingale Memory
Potato,2184,0.9919,0.9911,High Near-Martingale Memory
Soyabean,1456,0.9925,0.9905,High Near-Martingale Memory
Tomato,2139,0.9761,0.9703,High Near-Martingale Memory
Wheat,2184,0.9959,0.9933,High Near-Martingale Memory
